'y-axis saved as y
'x,LKL063_Sr85Na15Pd3O4_testingdecomp.xy,Ycalc,Diff,SrPd3O4
13.95329,931,0,0,0
13.96642,911,0,0,0
13.97955,965,0,0,0
13.99268,980,0,0,0
14.00581,947,911.764663,35.235337,911.764663
14.01894,951,910.59066,40.4093397,910.59066
14.03207,939,909.418575,29.5814251,909.418575
14.0452,946,908.248402,37.7515976,908.248402
14.05833,935,907.080138,27.9198618,907.080138
14.07146,948,905.913778,42.0862219,905.913778
14.08459,989,904.749318,84.2506823,904.749318
14.09772,966,903.586752,62.4132476,903.586752
14.11085,930,902.426078,27.573922,902.426078
14.12398,945,901.26729,43.7327098,901.26729
14.13711,1009,900.110384,108.889616,900.110384
14.15024,948,898.955357,49.0446434,898.955357
14.16337,928,897.802202,30.1977977,897.802202
14.1765,947,896.650917,50.3490828,896.650917
14.18963,935,895.501497,39.498503,895.501497
14.20276,917,894.353938,22.6460624,894.353938
14.21589,914,893.208235,20.7917654,893.208235
14.22902,912,892.064384,19.9356161,892.064384
14.24215,953,890.922381,62.0776189,890.922381
14.25528,900,889.782222,10.2177779,889.782222
14.26841,843,888.643903,-45.6439027,888.643903
14.28154,918,887.507419,30.4925813,887.507419
14.29467,859,886.372766,-27.372766,886.372766
14.3078,929,885.23994,43.7600597,885.23994
14.32093,915,884.108938,30.8910623,884.108938
14.33406,922,882.979754,39.0202461,882.979754
14.34719,929,881.852385,47.1476152,881.852385
14.36032,944,880.726826,63.2731736,880.726826
14.37345,943,879.603075,63.3969254,879.603075
14.38659,881,878.480271,2.51972856,878.480271
14.39972,940,877.360122,62.639878,877.360122
14.41285,905,876.241767,28.7582331,876.241767
14.42598,843,875.125202,-32.1252022,875.125202
14.43911,921,874.010424,46.989576,874.010424
14.45224,857,872.897428,-15.8974281,872.897428
14.46537,885,871.786211,13.2137894,871.786211
14.4785,898,870.676768,27.3232324,870.676768
14.49163,937,869.569095,67.4309049,869.569095
14.50476,937,868.463189,68.5368108,868.463189
14.51789,819,867.359046,-48.3590458,867.359046
14.53102,866,866.256661,-0.25666121,866.256661
14.54415,911,865.156031,45.8439686,865.156031
14.55728,900,864.057153,35.9428475,864.057153
14.57041,880,862.960021,17.0399793,862.960021
14.58354,940,861.864632,78.135368,861.864632
14.59667,878,860.770983,17.2290173,860.770983
14.6098,867,859.679069,7.32093114,859.679069
14.62293,900,858.588887,41.4111133,858.588887
14.63606,827,857.500432,-30.5004324,857.500432
14.64919,859,856.413702,2.58629777,856.413702
14.66232,826,855.328692,-29.3286923,855.328692
14.67545,888,854.245399,33.7546011,854.245399
14.68858,845,853.163818,-8.16381823,853.163818
14.70171,880,852.083947,27.9160534,852.083947
14.71484,822,851.144423,-29.1444225,851.144423
14.72797,943,850.068113,92.9318874,850.068113
14.7411,903,848.993501,54.0064992,848.993501
14.75423,877,847.920583,29.0794166,847.920583
14.76736,921,846.849357,74.1506434,846.849357
14.78049,891,845.779817,45.220183,845.779817
14.79362,899,844.711961,54.2880393,844.711961
14.80675,872,843.645784,28.3542158,843.645784
14.81988,874,842.581284,31.4187163,842.581284
14.83301,823,841.518456,-18.5184558,841.518456
14.84614,850,840.457297,9.54270333,840.457297
14.85928,874,839.396997,34.6030034,839.396997
14.87241,896,838.339166,57.6608343,838.339166
14.88554,898,837.282993,60.7170071,837.282993
14.89867,888,836.228475,51.7715254,836.228475
14.9118,857,835.175607,21.8243927,835.175607
14.92493,869,834.124388,34.8756125,834.124388
14.93806,833,833.074812,-0.0748115898,833.074812
14.95119,845,832.026876,12.9731239,832.026876
14.96432,857,830.980577,26.0194226,830.980577
14.97745,845,829.935912,15.0640878,829.935912
14.99058,797,828.892877,-31.8928768,828.892877
15.00371,870,827.851468,42.1485321,827.851468
15.01684,868,826.811682,41.1883181,826.811682
15.02997,843,825.773516,17.2264845,825.773516
15.0431,880,824.736965,55.2630348,824.736965
15.05623,870,823.702028,46.2979725,823.702028
15.06936,875,822.668699,52.3313009,822.668699
15.08249,831,821.636976,9.36302354,821.636976
15.09562,873,820.606856,52.3931437,820.606856
15.10875,802,819.578335,-17.5783352,819.578335
15.12188,855,818.55141,36.4485902,818.55141
15.13501,905,817.526077,87.4739233,817.526077
15.14814,813,816.502333,-3.50233259,816.502333
15.16127,836,815.480174,20.5198259,815.480174
15.1744,772,814.459598,-42.4595979,814.459598
15.18753,917,813.440601,103.559399,813.440601
15.20066,837,812.423179,24.5768207,812.423179
15.21379,841,811.40733,29.5926699,811.40733
15.22692,794,810.39305,-16.3930501,810.39305
15.24005,817,809.380336,7.61966405,809.380336
15.25318,815,808.369184,6.63081569,808.369184
15.26631,840,807.359592,32.640408,807.359592
15.27944,817,806.351556,10.6484443,806.351556
15.29257,850,805.345072,44.6549277,805.345072
15.3057,807,804.364235,2.63576514,804.364235
15.31883,840,803.360888,36.6391124,803.360888
15.33197,839,802.358321,36.6416788,802.358321
15.3451,802,801.358058,0.641941521,801.358058
15.35823,796,800.359333,-4.35933267,800.359333
15.37136,834,799.362141,34.6378594,799.362141
15.38449,858,798.366479,59.6335209,798.366479
15.39762,866,797.372345,68.627655,797.372345
15.41075,795,796.379735,-1.37973527,796.379735
15.42388,854,795.388647,58.6113534,795.388647
15.43701,811,794.399076,16.600924,794.399076
15.45014,874,793.41102,80.5889796,793.41102
15.46327,808,792.424477,15.5755235,792.424477
15.4764,858,791.439441,66.5605586,791.439441
15.48953,737,790.455912,-53.4559119,790.455912
15.50266,810,789.473885,20.526115,789.473885
15.51579,788,788.493358,-0.493357555,788.493358
15.52892,826,787.514327,38.4856734,787.514327
15.54205,792,786.536789,5.46321096,786.536789
15.55518,801,785.560742,15.4392581,785.560742
15.56831,841,784.586182,56.413818,784.586182
15.58144,763,783.613107,-20.6131066,783.613107
15.59457,800,782.641512,17.3584876,782.641512
15.6077,769,781.671397,-12.6713966,781.671397
15.62083,761,780.702756,-19.7027561,780.702756
15.63396,786,779.735588,6.26441199,779.735588
15.64709,800,778.769889,21.2301107,778.769889
15.66022,799,777.805657,21.1943429,777.805657
15.67335,762,776.842888,-14.8428883,776.842888
15.68648,778,775.88158,2.1184199,775.88158
15.69961,789,774.92173,14.0782705,774.92173
15.71274,827,773.963334,53.0366664,773.963334
15.72587,761,773.00639,-12.0063896,773.00639
15.739,802,772.050894,29.9491056,772.050894
15.75213,757,771.096845,-14.0968452,771.096845
15.76526,731,770.144239,-39.1442391,770.144239
15.77839,753,769.193073,-16.1930732,769.193073
15.79153,795,768.242622,26.7573781,768.242622
15.80466,803,767.294329,35.705671,767.294329
15.81779,776,766.347468,9.65253227,766.347468
15.83092,758,765.402035,-7.40203529,765.402035
15.84405,751,764.458029,-13.4580288,764.458029
15.85718,836,763.515446,72.4845545,763.515446
15.87031,772,762.574283,9.42571745,762.574283
15.88344,758,761.634537,-3.63453712,761.634537
15.89657,845,760.696206,84.3037936,760.696206
15.9097,805,759.759288,45.2407123,759.759288
15.92283,768,758.823778,9.17622187,758.823778
15.93596,778,757.889675,20.110325,757.889675
15.94909,766,756.956975,9.04302455,756.956975
15.96222,764,756.025677,7.97432319,756.025677
15.97535,755,755.095776,-0.0957763095,755.095776
15.98848,759,754.167271,4.83272879,754.167271
16.00161,777,753.240159,23.7598412,753.240159
16.01474,822,752.314436,69.6855637,752.314436
16.02787,740,751.390101,-11.3901011,751.390101
16.041,733,750.46715,-17.4671504,750.46715
16.05413,722,749.545582,-27.5455816,749.545582
16.06726,738,748.625392,-10.6253919,748.625392
16.08039,717,747.706579,-30.7065787,747.706579
16.09352,766,746.789139,19.2108607,746.789139
16.10665,784,745.873071,38.1269289,745.873071
16.11978,729,744.958371,-15.9583713,744.958371
16.13291,728,744.045037,-16.0450375,744.045037
16.14604,773,743.133067,29.8669332,743.133067
16.15917,744,742.222457,1.77754332,742.222457
16.1723,724,741.313205,-17.3132046,741.313205
16.18543,715,740.405308,-25.4053078,740.405308
16.19856,758,739.498764,18.5012363,739.498764
16.21169,763,738.59357,24.4064302,738.59357
16.22482,789,737.689724,51.3102765,737.689724
16.23795,787,736.787222,50.2127778,736.787222
16.25108,701,735.886063,-34.8860632,735.886063
16.26422,734,734.985559,-0.985559309,734.985559
16.27735,779,734.087079,44.9129215,734.087079
16.29048,786,733.189932,52.8100676,733.189932
16.30361,751,732.294119,18.7058814,732.294119
16.31674,740,731.399634,8.60036567,731.399634
16.32987,769,730.506477,38.4935228,730.506477
16.343,693,729.614645,-36.6146448,729.614645
16.35613,776,728.724134,47.2758656,728.724134
16.36926,739,727.834944,11.1650564,727.834944
16.38239,745,726.94707,18.0529301,726.94707
16.39552,687,726.060511,-39.0605109,726.060511
16.40865,677,725.175264,-48.1752639,725.175264
